"File","FullPath","HasSystemThreading","HasCancellationToken","NeedsUpdate"
"AddDocumentNote.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\AddDocumentNote.cs","True","True","False"
"CancelCheckoutDocument.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\CancelCheckoutDocument.cs","True","True","False"
"CheckoutDocument.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\CheckoutDocument.cs","True","True","False"
"GenerateThumbnail.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GenerateThumbnail.cs","True","True","False"
"GetCase.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetCase.cs","True","True","False"
"GetCases.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetCases.cs","True","True","False"
"GetDocumentList.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetDocumentList.cs","True","True","False"
"GetDocumentNotes.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetDocumentNotes.cs","True","True","False"
"GetExhibitProducers.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetExhibitProducers.cs","True","True","False"
"GetMaterialTypeList.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetMaterialTypeList.cs","True","True","False"
"GetOcr.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetOcr.cs","True","True","False"
"GetPdf.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetPdf.cs","True","True","False"
"GetPii.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetPii.cs","True","True","False"
"GetThumbnail.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetThumbnail.cs","True","True","False"
"GetWitnesses.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetWitnesses.cs","True","True","False"
"GetWitnessStatements.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\GetWitnessStatements.cs","True","True","False"
"LookupUrn.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\LookupUrn.cs","True","True","False"
"PolarisPipelineBulkRedactionSearch.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineBulkRedactionSearch.cs","True","True","False"
"PolarisPipelineCase.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineCase.cs","True","True","False"
"PolarisPipelineCaseDelete.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineCaseDelete.cs","True","True","False"
"PolarisPipelineCaseSearch.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineCaseSearch.cs","True","True","False"
"PolarisPipelineCaseSearchIndexCount.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineCaseSearchIndexCount.cs","True","True","False"
"PolarisPipelineGetCaseTracker.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineGetCaseTracker.cs","True","True","False"
"PolarisPipelineModifyDocument.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineModifyDocument.cs","True","True","False"
"PolarisPipelineSaveDocumentRedactions.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\PolarisPipelineSaveDocumentRedactions.cs","True","True","False"
"ReclassifyDocument.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\ReclassifyDocument.cs","True","True","False"
"RenameDocument.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\RenameDocument.cs","True","True","False"
"Status.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\Status.cs","False","False","True"
"ToggleIsUnusedDocument.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\ToggleIsUnusedDocument.cs","True","True","False"
"BulkSetUnused.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\BulkSetUnused.cs","True","True","False"
"CompleteReclassification.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\CompleteReclassification.cs","True","True","False"
"DiscardMaterial.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\DiscardMaterial.cs","True","True","False"
"GetCaseDefendants.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseDefendants.cs","True","True","False"
"GetCaseExhibitProducers.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseExhibitProducers.cs","True","True","False"
"GetCaseHistoryEvent.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseHistoryEvent.cs","True","True","False"
"GetCaseInfo.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseInfo.cs","True","True","False"
"GetCaseLockInfo.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseLockInfo.cs","True","True","False"
"GetCaseMaterials.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseMaterials.cs","True","True","False"
"GetCaseMaterialsPreview.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseMaterialsPreview.cs","True","True","False"
"GetCaseWitnesses.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseWitnesses.cs","True","True","False"
"GetCaseWitnessStatements.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetCaseWitnessStatements.cs","True","True","False"
"GetDocumentTypes.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetDocumentTypes.cs","False","False","True"
"GetInitialReview.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetInitialReview.cs","True","True","False"
"GetInitialReviewByHistoryId.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetInitialReviewByHistoryId.cs","True","True","False"
"GetMaterialDocuments.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetMaterialDocuments.cs","True","True","False"
"GetOffenceChargeById.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetOffenceChargeById.cs","True","True","False"
"GetPCDRequestByPcdId.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPCDRequestByPcdId.cs","True","True","False"
"GetPCDRequestCore.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPCDRequestCore.cs","True","True","False"
"GetPcdReview.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPcdReview.cs","True","True","False"
"GetPcdReviewCore.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPcdReviewCore.cs","True","True","False"
"GetPcdReviewDetails.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPcdReviewDetails.cs","True","True","False"
"GetPreChargeDecision.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPreChargeDecision.cs","True","True","False"
"GetPreChargeDecisionByHistoryId.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\GetPreChargeDecisionByHistoryId.cs","True","True","False"
"RenameMaterial.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\RenameMaterial.cs","True","True","False"
"SetMaterialReadStatus.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\SetMaterialReadStatus.cs","True","True","False"
"UmaReclassify.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\UmaReclassify.cs","True","True","False"
"UpdateExhibit.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\UpdateExhibit.cs","True","True","False"
"UpdateStatement.cs","D:\Users\Girma.Bewketu\source\repos\Polaris\polaris-gateway\Functions\HouseKeeping\UpdateStatement.cs","True","True","False"
